,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Brand,Casing,Category,Graphics Card,Index,Motherboard,Name,Price,Processor,RAM,Storage,Subcategory,Warranty,Power Supply,CPU Cooler,Keyboard,Monitor,Audio,External I/O Ports,Operating System,Optical Drive,Network & Wireless Connectivity,Dimension,Mouse,Weight,Hard Disk,Main Board,Operating system,Processor Speed,Processor Type,Lan,Interface,Camera,Color,Screen Size,Accessories,Networking,Base Frequency,Cache,Capacity,Connectivity,Cores,Dimensions,Frequency,Key Board,Max Turbo Frequency,Model,Nature ,Solid State Drive (SSD),Type,Hard Disk Drive (HDD),Threads
73,73.0,73.0,73.0,73.0,,Dell,,Desktop,HD 4600 Graphics,74.0,,Dell Optiplex 3020 MT i5 Genuine OS Brand PC,"49,500",,4GB DDR3 1600Mhz,,Brand PC,3 Years Warranty ,,,"Dell KB212-B QuietKey USB Keyboard Black
","Dell 18.5"" E1916HV Monitor with LED backlight",Internal Dell Business Audio Speaker,,,Dell 16X Half Height DVD+/-RW Drive,,,Dell MS111 USB Optical Mouse,,500GB 7200RPM SATA,Intel 81 Chipset Motherboard,Genuine Windows 10 Pro Downgraded Windows 7 Pro," 6MB Cache, 3.30 GHz Max Turbo up to 3.7GHz","Intel® Core i5-4590 4th Gen Processor
",Integrated Gigabit LAN-On-Motherboard,Genuine OS,,,,,,,,,,,,,,,,,,,,
74,74.0,74.0,74.0,74.0,,HP,,Desktop,Shared,75.0,,HP ProDesk 600 G5 MT Core i5 9th Gen 512GB SSD Micro Tower Brand PC,"50,000",,8GB DDR4 RAM-2666MHz,,Brand PC,3 Year warranty,,,"HP USB Keyboard

",,,,,,,,HP USB Optical Mouse,,512GB SSD,Intel Q370 Chipset,Free/DOS  ,"3 GHz base frequency, up to 4.4 GHz with Intel Turbo Boost Technology, 9 MB cache, 6 cores)",9th Gen Intel Core i5 9500 Processor,,,,,,,,,,,,,,,,,,,,,,
75,75.0,75.0,75.0,75.0,,Dell,,Desktop,"Intel UHD Graphics 630
RAM Slot: 2, Supported up to 64GB RAM (Max)",76.0,Intel CML PCH-H H470,Dell Inspiron 3881 Core i5 10th Gen Mid Tower Brand PC,"51,000","Intel Core i5-10400 Processor (12MB Cache, 2.9 GHz up to 4.3 GHz)","8GB DDR4 2666 MHz RAM
",1TB 7200RPM SATA HDD,Brand PC,"03 years warranty
",260W Power Supply,,"Dell Wired Keyboard
",,Combo port,"FRONT:
Media Card Reader
Audio Combo Jack
2x USB 2.0 
USB 3.2 Type-C Gen 2
USB 3.2 Type-A Gen 1

REAR:
Line out
HDMI 1.4b Port
Display Port 1.4
2x USB 3.2 Type-A Gen 1
2x USB 2.0
Power Supply Unit
VGA
RJ45",Windows 10 Home,,"10/100/1000 Gigabit Ethernet
802.11 ac 2x2 WiFi
Bluetooth 5.0
",324 x 154 x 293mm,"Dell Wired Mouse
",5.23 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76.0,76.0,76.0,76.0,,Dell,,Desktop,Intel UHD Graphics 630,77.0,,Dell Vostro 3888MT Core i5 10th Gen Brand PC,"54,000","Intel Core i5-10400 Processor (12MB Cache, 2.9 GHz up to 4.3 GHz)","4GB DDR4 3200 MHz RAM
","1TB 7200RPM 3.5"" SATA HDD",Brand PC,"03 years warranty
",260W Power Supply,,USB Keyboard,,Combo port,"LAN10/100/1000 Gigabit Ethernet
4 x USB3.2 Gen 1 Type-A, 4 x USB2.0 Type-A
1 x HDMI Port
1 x VGA/D-Sub
1 x Audio Port Combo
1 x Extra RAM Slot (highest upgradeable up to 64GB)
1 x M.2/SSD Expansion Slot",Free DOS,Tray load DVD Drive (Reads and Writes to DVD/CD),"10/100/1000 Gigabit Ethernet
802.11 ac 2x2 WiFi
Bluetooth 5.0
",324.3 x 154.0 x 293 mm,USB Mouse,4.93 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77.0,77.0,77.0,77.0,,HP,,Desktop,HD 630 Graphics,78.0,,HP ProDesk 400 G5 MT Core i7 8th Gen Business PC,"57,500",,8GB DDR4 RAM-2666MHz,,Brand PC,3 Year warranty,,,"HP Usb Keyboard

",,,,,,,,HP Usb Optical Mouse,,1TB 7200RPM SATA,Intel® B360 Chipset,Free/DOS  ,"(12M Cache, 3.20 GHz up to 4.60 GHz, 6 core, 12 threads)",Intel® Core™ i7-8700,,,,,,,,,,,,,,,,,,,,,,
78,78.0,78.0,78.0,78.0,,HP,,Desktop,Intel UHD 630 Graphics,79.0, Q370 Chipset,HP ProDesk 600 G4 MT Core i7 8th Gen PC,"58,800","Intel® Core™ i7-8700 Processor (12M Cache,3.20 GHz up to 4.60 GHz)",8GB DDR4 RAM-2666MHz,1 TB SATA-7200rpm HDD,Brand PC,03 years,"180 W internal power supply, up to 92% efficiency, active PFC",,HP USB Optical Keyboard,,"universal audio jack, headset and headphone front ports (3.5 mm), multi-streaming capable",,Free Dos,DVD writer,,,HP USB Optical Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79.0,79.0,79.0,79.0,,HP,,Desktop,Intel UHD Graphics 620,80.0,,HP ProDesk 400 G6 MT Core i7 9th Gen Microtower Business PC,"60,700",,"8GB DDR4 2666MHz SDRAM
",,Brand PC,3 Year warranty,,,,,"2 W internal speaker, universal audio jack, headset and headphone front ports (3.5 mm), multi-streaming capable",,,,,,,,1 TB 7200 rpm HDD,"Intel B360 Chipset
",Free DOS,"12MB Cache, 3.0 up to 4.80 GHz, 8 cores, 8 threads","Intel Core i7-9700 Processor (12MB Cache, 3.0 up to 4.80 GHz, 8 cores, 8 threads)",,"SD 3.0 with 4-in-1 interface
Supports SD, SDXC, SDHC, UHS-I
Intel Ethernet I210-T1 PCIe x1 Gigabit Network Interface Card
Realtek RTL8111HSH-CG Gigabit Network (GbE) connection (standard)

",,,,,,,,,,,,,,,,,,,,
80,80.0,80.0,80.0,80.0,,HP,,Desktop,Intel UHD Graphics 630,81.0,,HP ProDesk 600 G5 MT Core i7 9th Gen Micro Tower Brand PC,"61,000",,8GB DDR4 RAM-2666MHz,,Brand PC,3 Year warranty,,,"HP Usb Keyboard

",,,,,,,,HP Usb Optical Mouse,,1TB 7200RPM SATA,Intel Q370 Chipset,Free/DOS  ,"3 GHz base frequency, up to 4.7 GHz with Intel Turbo Boost Technology, 12 MB cache)",9th Gen Intel Core  i7 9700 Processor,,,,,,,,,,,,,,,,,,,,,,
81,81.0,81.0,81.0,81.0,,Dell,,Desktop,Intel® HD Graphics 630,82.0,Intel® Q370 Chipset,Dell OptiPlex 5060 Micro Core i7 8th Gen Brand PC,"63,700","Intel Core i7-8700 Processor (12M Cache, 3.20 GHz up to 4.60 GHz)",8GB DDR4 2666MHz, 1TB HDD,Brand PC,03 years,A/C Adapter – 90W,,USB Keyboard,,Internal Dell Business audio speaker,,Free Dos,Optical Drive DVD, Integrated Realtek® RTL8111HSD Ethernet LAN 10/100/1000,,USB Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82.0,82.0,82.0,82.0,,Dell,,Desktop,Intel® UHD Graphics 630,83.0,Intel B360 Chipset,Dell Vostro 3670MT Core i7 8th Gen 8GB Ram 1TB HDD Brand PC ,"64,000","Intel® Core™ i7-8700 Processor (12M Cache, 3.20 GHz up to 4.60 GHz, 6 Cores, 12 Threads)","8GB 2400MHz DDR4L Memory, 2 DIMM slots","1TB 7200 RPM 3.5"" SATA Hard Drive ",Brand PC,3 Years SADMG Rapid Parts Exchange Service ,"290W PSU (APFC, EPA Bronze)",,Dell KB216,,,,Free Dos,Tray load DVD Drive (Reads and Writes to DVD/CD),"802.11bgn + Bluetooth 4.0, 1x1",,Dell MS116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83.0,83.0,83.0,83.0,,Dell,,Desktop,Intel Integrated Graphics,84.0,,Dell Optiplex 3070 MT 9th Gen Intel Core i7 9700 Brand PC,"65,000","Intel Core i7-9700 (12MB, 3.0GHz up to 4.7GHz) Processor","8GB (1x8G) 2666MHz DDR4L Memory, 2 DIMM slots","1TB 7200 RPM 3.5"" SATA Hard Drive",Brand PC,3 Years Warranty  Service,260W up to 85% efficient Power Supply,,Dell USB Keyboard,,Combo,,"Free DOS

",DVD+/-RW Drive (Half Height),,,Dell Optical Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84.0,84.0,84.0,84.0,,Dell,,Desktop,Intel UHD Graphics 630,85.0,Intel B360,Dell Vostro 3670 9th Gen Intel Core i7 9700 Tower Brand PC,"65,500","Intel Core i7 9700 (12M Cache, 3.00 GHz up to 4.70 GHz)Processor","8GB (1x8G) 2666MHz DDR4L Memory, 2 DIMM slots","1TB 7200 RPM 3.5"" SATA Hard Drive",Brand PC,3 Years Warranty  Service,290 W PSU (APFC Full range),, Dell KB216 USB Keyboard,,Combo,,"Free DOS

",Yes,"LAN, WiFi, Bluetooth, Card Reader",,Dell  MS116 Optical Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85.0,85.0,85.0,85.0,,Dell,,Desktop,"Integrated Intel UHD Graphics 630
",86.0,"Intel Q370 Chipset
",Dell Optiplex 7070 MT 9th Gen Intel Core i7 9700 Black Mini Tower Brand PC,"67,500","Intel Core i7 9700 (12M Cache, 3.0 GHz up to 4.7 GHz)",8GB DDR4 2666MHz RAM,1TB 3.5 Inch SATA 7200RPM HDD,Brand PC,3 years Warranty,,,Dell USB Keyboard,,,,Free DOS,Internal slim Optical Disk Drive ,"Networking - LAN
Display Port - Dual Displayport
Audio Port - Combo
USB Port - 1 x USB3.1 Gen 2 Type-C, 5 x USB3.1 Gen 1 Type-A, 4 x USB2.0",,Dell USB Optical Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86.0,86.0,86.0,86.0,,Dell,,Desktop,"Integrated Intel® HD Graphics 630
",87.0,"Intel® Q370 Chipset
",Dell OptiPlex 7060-MT Core i7 8th Gen Brand PC,"69,000","Intel Core i7-8700 (12M Cache,3.2 GHz up to 4.6 GHz)",8GB (2x4GB) 2666MHz DDR4 Memory ,"1TB 7200rpm 2.5"" SATA  HDD",Brand PC,3 years Warranty,260W typical 85% Efficient PSU (80 PLUS Bronze),,Dell USB Keyboard,,,,Free DOS,Internal slim Optical Disk Drive ,,,Dell USB Optical Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87.0,87.0,87.0,87.0,,Dell,Tower,Desktop,"Nvidia GeForce RTX 2060, 6GB GDDR6 Graphics Card",88.0,Intel C246 chipset,Dell Precession T3630 Core i7 9th Gen Workstation,"175,000","Intel Core i7-9700 Processor (8 Core, 12MB Cache, 3.0Ghz, 4.7 Ghz Turbo)",32GB (2x16GB) DDR4 2666MHz UDIMM Non-ECC Memory,"3.5"" 2TB 7200rpm SATA Hard Disk Drive
(Internal Bay: Four Additional Hard Drive Bay)",Brand PC,3 Years,460W up to 90% efficient PSU (80Plus Gold),,Dell Wired Keyboard KB216 Black (English),,,"1. Power button
2. Audio – GHS
3. USB2, Type A
4. USB2, Type A
5. USB3.1 Type C
6. USB3.1 Type A
7. Serial port 
8. 2x DisplayPort
9. 2x USB2, Type A
10. 4x USB3.1 Type A
11. Audio Jack",Windows 10 Pro (64bit) English License,8x DVD+/-RW 9.5mm Optical Disk Drive,"Intel Wireless-AC 9260, Dual-band 2x2 802.11ac Wi-Fi with MU-MIMO +
Bluetooth 5",,Dell Wired Mouse MS116 Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88.0,88.0,88.0,,,ASUS,,Desktop,Intel UHD Graphics,89.0,,"ASUS Vivo AiO V161GART Celeron N4020 15.6"" HD All-in-One PC","44,500","Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz)",4GB DDR4 SO-DIMM RAM,"256GB SATA 2.5"" SSD",All in One PC,"3 Years
","ø5.5, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal",,USB Keyboard,"15.6-inch, HD (1366 x 768) 16:9, Glossy display, LED Backlit, 200nits, NTSC: 45%, Touch screen",Built-in microphone,"Side I/O Ports:
1x Kensington lock
1x Headphone out
1x MIC-in
1x 6-in-1 card reader SD / SDHC / SDXC / MS / MS Pro / MMC
2x USB 3.2 Gen 1 Type-A

Rear I/O Ports:
2x COM port
1x VGA Port (D-Sub)
1x DC-in
1x RJ45 Gigabit Ethernet
1x HDMI out 1.4
2x USB 3.2 Gen 1 Type-A",Free DOS,,Wi-Fi 5(802.11ac)+BT5.0 (Dual band) 2x2 – Gigabit WiFi,"37.8 x 24.7 x 2.9 ~ 10.5 cm (14.88"" x 9.72"" x 1.14"" ~ 4.13"")",USB Mouse,02.00 kg (4.41 lbs),,,,,,,,720p HD camera,Black,,,,,,,,,,,,,,,,,,
89,89.0,89.0,89.0,,,Dell,,Desktop,Intel UHD Graphics 630,90.0,,"Dell Optiplex 3280 Core i3 10th Gen 21.5"" FHD All-In-One PC","51,000","Intel Core i3-10100T Processor (4-Core, 6MB Cache, 3.0GHz to 3.8GHz, 35W)",4GB DDR4 2666 MHz RAM,"1TB 5400 RPM SATA3 HDD
1 x M.2 PCIe Blank SSD Slot",All in One PC,3 Years,,,USB Keyboard,"21.5"" FHD 1920x1080 IPS Non-Touch LED Display",,"3 x USB3.2 Gen 1 Type-A, 2 x USB2.0
1 x USB3.2 Gen 1 Type-C
1 x DisplayPort (DP)
Audio: Combo (Front), Audio-in & out (Rear)",Free DOS,,"Intel 3165 dual band 802.11ac 1x1
Bluetooth 4.2
Full HD Webcam 2MP",329.4 x 497.9 x 54.5mm,USB Mouse,4.34Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90.0,90.0,90.0,,,Dell,,Desktop,Intel Integrated Graphics,91.0,,"Dell Optiplex 22 3280 Core i5 10th Gen 21.5"" Full HD All In One PC","68,500","Intel Core i5-10500T Processor (12M Cache, 2.30 GHz up to 3.80 GHz)",4GB DDR4 RAM,1TB HDD,All in One PC,3 Years,,,USB Keyboard,"21.5"" FHD 1920x1080 IPS Non-Touch Display",,"1 RJ-45 port 10/100/1000 Mbps (rear)
1 USB 3.2 Gen 1 Type-C port (side)
1x USB 3.2 Gen 1 Type-A port with PowerShare (side)
2x USB 2.0 ports with Smart Power On (rear)
2x USB 3.2 Gen 1 Type-A ports (rear)
1x Universal audio port (side)
1x Line-out audio port (rear)
1x DP++ 1.4/HDCP 2.3 port (rear)",Free DOS,,"Intel Wi-Fi 6 AX201, Dual-band 2x2 802.11ax with MU-MIMO + 
Bluetooth 5.0
Webcam",329.4 x 497.9 x 54.5mm,USB Mouse,4.34Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91.0,91.0,91.0,,,Dell,,Desktop,Intel UHD Graphics 750,92.0,,"Dell OptiPlex 5490 Core i5 23.8"" All-in-One PC","82,000"," Intel Core i5-11500T Processor (12M Cache, 1.50 GHz up to 3.90 GHz)",8GB DDR4 RAM,1TB HDD,All in One PC,3 Years,80 PLUS internal Power Supply Unit (PSU),,Wireless Keyboard," 23.8"" Non-Touch FHD Display",,"1 x USB 3.2 Gen 2x1 Type-C port
1 x USB 3.2 Gen 1 port with Power Share
1 x Universal audio port",Free DOS,,"Intel Wi-Fi 6 AX201, Dual-band 2x2 802.11ax with MU-MIMO + Bluetooth 5.1
","Height: 344 mm (13.54"") x Width: 540.20 mm (21.26"") xDepth: 52.80 mm (2.07"")",Wireless Keyboard,"Starting Weight: 5.02 kg (13.27 lb)
Maximum Weight: 6.54 kg (14.42 lb)",,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92.0,92.0,92.0,,,Dell,,Desktop,Intel Integrated Graphics,93.0,,"Dell Optiplex 24 7480 Core i5 10th Gen 23.8"" Full HD All In One PC","90,000","Intel Core i5-10500 Processor (12MB, 3.1GHz to 4.5GHz)",8GB DDR4 RAM,1TB HDD,All in One PC,3 Years,,,Wireless Keyboard,"23.8"" FHD 1920x1080 IPS Non-Touch Display",,"1x RJ-45 port 10/100/1000 Mbps (rear)
1x USB 3.2 Gen 2 Type-C port (side)
1x USB 3.2 Gen 1 Type-A port with PowerShare (side)
1x Universal audio jack (side)
2x USB 3.2 Gen 2 Type-A ports with Smart Power On (rear)
2x USB 3.2 Gen 2 Type-A ports (rear)
1x Line-out audio port (rear)
1x DP 1.4/HDCP 2.3 port (rear)
1x HDMI In port (rear)
1x HDMI Out port (rear)",Free DOS,,"Intel Wi-Fi 6 AX201, Dual-band 2x2 802.11ax with MU-MIMO + 
Bluetooth 5.0
Webcam",344.00 x 540.20 x 52.80 mm,Wireless Mouse,5.94 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93.0,93.0,93.0,,,Dell,,Desktop,"Intel Integrated Graphics
",94.0,,"Dell Optiplex 7480 Core i7 10th Gen 256GB SSD 23.8"" FHD All-in-One PC","117,000","Intel Core i7-10700 Processor (16M Cache, 2.90 GHz up to 4.80 GHz)","16GB DDR4 RAM
","256GB SSD
",All in One PC,3 Years Warranty,,,"Wireless Keyboard
","23.8"" FHD 1920x1080 IPS Non-Touch Display",Built-in Speaker,"1x RJ-45 port 10/100/1000 Mbps (rear)
1x USB 3.2 Gen 2 Type-C port (side)
1x USB 3.2 Gen 1 Type-A port with PowerShare (side)
1x Universal audio jack (side)
2x USB 3.2 Gen 2 Type-A ports with Smart Power On (rear)
2x USB 3.2 Gen 2 Type-A ports (rear)
1x Line-out audio port (rear)
1x DP 1.4/HDCP 2.3 port (rear)
1x HDMI In port (rear)
1x HDMI Out port (rear)","Free DOS
",,"Intel Wi-Fi 6 802.11ax AX201 (2x2) with MU-MIMO technology
Bluetooth 5.0
Webcam","344.00 x 540.20 x 52.80 mm
","Wireless Mouse
","5.94 Kg
",,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94.0,94.0,94.0,,,Dell,,Desktop,Intel UHD Graphics 750,95.0,,"Dell OptiPlex 5490 Core i7 23.8"" All-in-One PC","117,000","Intel Core i7-11700 Processor (16M Cache, 2.50GHz up to 4.90GHz)",8GB DDR4 RAM,256GB SSD,All in One PC,3 Years,80 PLUS internal Power Supply Unit (PSU),,Wireless Keyboard," 23.8"" Non-Touch FHD Display",,"1 x USB 3.2 Gen 2x1 Type-C port
1 x USB 3.2 Gen 1 port with Power Share
1 x Universal audio port",Free DOS,,"Intel Wi-Fi 6 AX201, Dual-band 2x2 802.11ax with MU-MIMO + Bluetooth 5.1
","Height: 344 mm (13.54"") x Width: 540.20 mm (21.26"") xDepth: 52.80 mm (2.07"")",Wireless Keyboard,"Starting Weight: 5.02 kg (13.27 lb)
Maximum Weight: 6.54 kg (14.42 lb)",,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95.0,95.0,95.0,,,HP,,Desktop,Intel HD Graphics,96.0,,"HP ProOne 400 G6 Core i7 10th Gen 23.8"" All in One PC",0,"Intel Core i7-10700 Processor (16M Cache, 2.90 GHz up to 4.80 GHz)
","8GB RAM,
","256GB SSD
1TB HDD
",All in One PC,"3 Years Warranty
",,,Wireless,,,,FreeDOS,,,,Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96.0,96.0,96.0,,,Lenovo,,Desktop,Intel HD Graphics ,97.0,,Lenovo C260 Quad Core All in One PC,"32,000",,2GB DDR3 1600MHz RAM,,All in One PC,1 Year,,,Lenovo Slim Wired Keyboard,,On Board,,, DVD Reader/Writer Drive,,,Lenovo Optical Wired Mouse,,500GB SATA HDD,Intel Chipset,,"(2M Cache, 2.41 GHz up to 2.67 GHz)",Intel Pentium Quad-Core Processor J2900 ,," 6 USB ports (2 USB 3.0, 4 USB 2.0), 
6-in-1 card reader (SD/SDHC/SDXC/MMC/MS/MS-Pro), 
Combo jack , 
10/100/1000 LAN ,
OneKey TV Tuner,
HDMI",,,19.5” HD LED Display,,,,,,,,,,,,,,,,,
